"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,42,22,25,4,-2.0411585,3.321864
1,42,27,31,5,-3.92519838,2.120762
1,42,38,41,4,-4.178789725,0.1774351
1,42,53,56,4,-2.83425525,4.295934
1,42,62,68,7,-12.6259645714286,3.018085
1,42,80,88,9,-11.9589077166667,11.27022
1,43,11,18,8,-8.386086375,2.295677
1,43,21,29,9,-2.6003737,0.3238932
1,43,39,43,5,-5.26794298,0.7874651
1,43,62,67,6,-3.96612605,3.649244
1,43,80,87,8,-11.06140575,3.381635
1,44,12,15,4,-2.0156358,-0.6805182
1,44,20,29,10,-6.16124752,0.8042978
1,44,39,45,7,-14.8634633471429,-0.06973043
1,44,53,57,5,-3.2562232,1.530199
1,44,61,67,7,-2.82740882857143,0.9264356
1,44,80,86,7,-3.36347218571429,6.230393
1,45,2,6,5,-2.2419953,0.5975668
1,45,20,29,10,-8.94361636,0.2067844
1,45,35,47,13,-6.90345415384615,35.05785
1,45,53,66,14,-4.67067864285714,3.500105
1,46,20,30,11,-9.143697,5.735331
1,46,53,65,13,-6.80040811538461,1.956412
1,46,70,73,4,-3.73610185,-0.1887824
1,47,20,49,30,-3.0883551,53.53003
1,47,54,65,12,-7.14739193333333,4.919872
1,47,69,76,8,-7.363912,2.578587
1,48,23,30,8,-8.646129925,6.437584
1,48,69,76,8,-11.43539255,0.6533103
1,49,24,30,7,-7.37021918428571,9.58468
1,49,54,58,5,-3.2638876,6.561954
1,49,69,76,8,-13.032227125,-0.202371
1,50,68,80,13,-8.68830546153846,4.887393
1,51,33,53,21,-2.82409811428571,30.8908
1,51,67,80,14,-8.30825647857143,7.416562
1,52,16,19,4,-3.061985,4.049956
1,52,21,24,4,-4.10159005,0.9547588
1,52,41,53,13,-19.1672083153846,0.3360219
1,52,67,80,14,-8.30116481071429,0.7713579
1,53,15,19,5,-7.21033736,1.743406
1,53,21,25,5,-3.0510034,8.470625
1,53,38,52,15,-8.98962554666667,32.8635
1,53,65,75,11,-10.0373405090909,0.2994564
1,54,15,19,5,-7.9481478,2.605515
1,54,38,51,14,-5.74429207142857,33.80472
1,54,64,75,12,-7.185065925,1.353995
1,55,15,18,4,-4.89017795,0.3943302
1,55,42,52,11,-10.9760831454545,1.543196
1,55,64,75,12,-3.82204491666667,1.589803
1,56,2,6,5,-2.99516,2.950095
1,56,41,56,16,-7.85093220625,0.2340994
1,56,64,70,7,-5.44768345714286,0.3664938
1,57,2,7,6,-4.53806733333333,1.88983
1,57,20,24,5,-3.6097428,1.61274
1,57,41,57,17,-7.50483027647059,0.2890005
1,57,64,71,8,-4.5465813625,0.779898
1,58,2,8,7,-5.39214185714286,5.281583
1,58,19,23,5,-6.62281982,0.2381639
1,58,40,57,18,-7.14169026666667,5.742715
1,58,64,71,8,-2.8528982625,1.083494
1,59,2,8,7,-4.59622387,4.268081
1,59,18,23,6,-7.81166866666667,1.082249
1,59,27,30,4,-2.356885275,0.7163359
1,59,41,57,17,-7.05327192941176,-0.3011272
1,59,63,70,8,-2.6001252075,-0.08895066
1,60,3,8,6,-5.16296516666667,1.556683
1,60,17,23,7,-7.65939142857143,1.71759
1,60,26,30,5,-2.412117314,0.3899833
1,60,42,53,12,-7.71478743166667,-0.01420718
1,61,3,8,6,-2.94730695,3.230787
1,61,16,23,8,-6.866316,2.300565
1,61,45,52,8,-10.0917529,-0.1635792
1,61,82,89,8,-2.1671924225,-0.05006968
1,62,2,7,6,-4.416617,3.441172
1,62,15,26,12,-6.21969783333333,0.32326
1,62,32,37,6,-3.7351575,2.968926
1,62,45,51,7,-8.24633455714286,-0.4255849
1,62,56,70,15,-2.14722158,0.091447
1,62,81,89,9,-3.09875246666667,0.3833103
1,63,2,7,6,-2.23572116666667,3.404108
1,63,15,27,13,-6.34985192307692,1.920357
1,63,32,37,6,-3.07281068333333,0.9536229
1,63,45,51,7,-3.17865491428571,0.6298926
1,63,58,70,13,-2.16332168461538,-0.1057864
1,63,82,89,8,-3.1488466625,-0.3475723
1,64,16,28,13,-5.58854353846154,1.613121
2,20,65,69,5,-2.5261978,1.424208
2,21,64,70,7,-6.23168885714286,1.687512
2,22,20,24,5,-2.10763346,-0.1288123
2,22,64,71,8,-10.1231491625,0.7145097
2,23,18,23,6,-3.5029366,0.2457363
2,23,63,72,10,-12.75375591,5.12046
2,24,16,21,6,-4.25881683333333,2.394089
2,24,64,73,10,-10.55821359,0.8351701
2,25,14,19,6,-2.30799653333333,4.889769
2,25,26,38,13,-3.98409464615385,0.3896796
2,26,11,17,7,-6.97312814285714,4.073518
2,26,26,39,14,-7.33519826428571,4.716219
2,27,10,16,7,-11.3984201428571,5.967206
2,27,27,39,13,-11.9562124461538,4.558764
2,28,28,40,13,-15.1847934,12.07471
2,28,46,53,8,-4.22158725,3.094229
2,28,67,77,11,-24.8903271818182,5.008969
2,29,28,41,14,-15.0181007142857,17.67845
2,29,46,54,9,-9.29511611111111,4.657818
2,29,67,78,12,-24.5864666666667,6.40715
