"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,116,70,78,9,-2.06911599125737,-0.176813512005915
1,117,2,8,7,-4.79806968234632,0.466720725690488
1,117,34,44,11,-10.8020624529386,0.575403886669271
1,117,49,63,15,-2.68471775817611,0.241726314109365
1,117,71,78,8,-2.29162759142773,0.294543925596842
1,118,2,7,6,-3.08725728654684,-0.0320602765429033
1,118,21,25,5,-2.30765197286688,0.185669106441631
1,118,33,41,9,-8.82175719323919,0.815389550043906
1,118,44,57,14,-4.90067245467957,1.47523008424674
1,118,68,78,11,-2.45081423306548,3.39284745451482
1,119,20,25,6,-2.78502531350319,2.52410577775449
1,119,32,40,9,-6.53223075319058,0.0582593006762889
1,119,42,55,14,-7.59807417419934,-0.382943662398705
1,119,59,77,19,-4.86759694567694,4.26645577363258
1,120,31,41,11,-6.89942795461865,0.120701030361711
1,120,44,55,12,-7.8924036434806,2.31078705481362
1,120,59,75,17,-6.75910430858149,0.53271732048016
1,120,83,89,7,-5.32380594864903,-2.39707541944179
1,121,30,41,12,-5.85842772950116,2.06185447824833
1,121,45,56,12,-5.90424030003289,1.11531541673097
1,121,58,73,16,-6.12964780730797,-0.445674368399683
1,121,81,89,9,-4.49569977032697,-2.18734189866934
1,122,30,70,41,-4.6312813621004,0.872856094329276
1,122,80,87,8,-3.52721777226114,2.21975073311407
1,123,5,9,5,-2.1888373085047,0.564903154236043
1,123,34,51,18,-4.37591988257611,0.265090960501267
1,123,59,70,12,-5.16360021178437,0.557677221691855
1,123,78,87,10,-2.63876746181258,0.545732480143243
1,124,4,14,11,-3.60432852113574,0.654861325342632
1,124,34,51,18,-3.43206429909359,0.434169090242213
1,124,63,70,8,-3.46862070935899,0.0869857127871993
1,124,77,89,13,-2.07654419628706,-0.223320026924717
1,125,9,22,14,-5.1597822216199,-0.11753186349635
1,125,40,51,12,-3.40648751310764,0.0690015273521344
1,125,64,71,8,-2.91637696435808,0.137400152086335
1,126,10,25,16,-7.88806714703847,0.687037338402649
1,126,40,50,11,-4.55066176904225,0.306613428260495
1,126,56,82,27,-2.63886051212786,0.391449099424779
1,127,10,25,16,-6.96516805342032,0.080775956777407
1,127,39,49,11,-4.8278020022022,2.01939496158078
1,127,62,87,26,-3.07926849899631,-0.377684182601356
1,128,11,25,15,-4.79897028982069,1.1510050309712
1,128,40,48,9,-3.6090268743678,0.558723768219081
1,128,64,88,25,-2.95339193365983,0.314974596690884
1,129,11,25,15,-4.2222684732834,0.361146701381152
1,129,66,89,24,-2.06752494377569,0.06766887198098
1,130,11,26,16,-3.61130214181095,0.446920787303372
1,131,3,30,28,-3.28455911885205,-0.427103957682588
1,131,69,77,9,-2.51450355096284,0.399933465889409
1,132,2,11,10,-6.18243138035359,0.197245695266529
1,132,15,33,19,-3.22274150565044,1.20660178723422
1,132,44,59,16,-2.91928936432382,0.66150805825308
1,132,62,87,26,-2.36818192601057,0.981360956908924
1,133,2,11,10,-6.3667823613538,0.982830206519223
1,133,17,33,17,-3.2772452673876,1.68689347519675
1,133,62,87,26,-3.48004323478349,-0.0733421065692365
1,134,2,10,9,-5.38776411420191,-0.393531471893271
1,134,21,32,12,-3.45750150535089,1.63353431362406
1,134,37,51,15,-3.27883191408739,0.967511243606039
1,134,68,89,22,-4.87633014894623,-1.14248618741516
1,135,19,27,9,-2.74846648048354,-0.201782057488775
1,135,37,47,11,-3.11875632981226,-0.130143554547059
1,135,70,89,20,-5.02366826620937,-2.58837366319032
1,136,17,26,10,-2.40739726462281,0.930413316407012
1,136,70,89,20,-2.4078892178605,-0.370347402452566
1,138,7,25,19,-2.17600512541308,1.53170828713425
1,139,8,25,18,-4.05323898403675,0.680368767168658
1,139,72,89,18,-2.09970744212062,-0.209067262514863
1,140,9,26,18,-5.38377914067353,0.997177073848577
1,140,72,89,18,-2.55066499684912,-0.917812849925109
1,141,9,26,18,-5.93980454579626,0.207899537050133
1,141,67,87,21,-2.53796195299977,0.366611423029296
1,142,10,39,30,-3.83476998462192,-0.191481181448058
1,142,64,86,23,-4.10617552233391,0.0147623203826062
1,143,11,40,30,-4.34035604588653,0.836719589455808
1,143,63,87,25,-5.57320196960117,-0.180058200214083
1,144,11,41,31,-5.04260102261253,-0.350981077488955
